state,county,d_date,total
kentucky,lewis,2020-05-02 00:00:00 +0000 UTC,3
west virginia,wetzel,2020-05-02 00:00:00 +0000 UTC,3
west virginia,wirt,2020-05-02 00:00:00 +0000 UTC,3
nebraska,antelope,2020-05-02 00:00:00 +0000 UTC,3
wisconsin,marquette,2020-05-02 00:00:00 +0000 UTC,3
arkansas,newton,2020-05-02 00:00:00 +0000 UTC,3
illinois,saline,2020-05-02 00:00:00 +0000 UTC,3
missouri,stone,2020-05-02 00:00:00 +0000 UTC,3
idaho,adams,2020-05-02 00:00:00 +0000 UTC,3
virginia,king and queen,2020-05-02 00:00:00 +0000 UTC,3
colorado,saguache,2020-05-02 00:00:00 +0000 UTC,3
michigan,schoolcraft,2020-05-02 00:00:00 +0000 UTC,3
north dakota,burke,2020-05-02 00:00:00 +0000 UTC,3
missouri,caldwell,2020-05-02 00:00:00 +0000 UTC,3
texas,clay,2020-05-02 00:00:00 +0000 UTC,3
texas,comanche,2020-05-02 00:00:00 +0000 UTC,3
missouri,dekalb,2020-05-02 00:00:00 +0000 UTC,3
arkansas,lee,2020-05-02 00:00:00 +0000 UTC,3
iowa,mitchell,2020-05-02 00:00:00 +0000 UTC,3
minnesota,yellow medicine,2020-05-02 00:00:00 +0000 UTC,3
kansas,cowley,2020-05-02 00:00:00 +0000 UTC,3
california,del norte,2020-05-02 00:00:00 +0000 UTC,3
texas,gillespie,2020-05-02 00:00:00 +0000 UTC,3
utah,kane,2020-05-02 00:00:00 +0000 UTC,3
north carolina,macon,2020-05-02 00:00:00 +0000 UTC,3
